video_id,sent_comment,comment_text,author,date,time
ojG2MtVBvxo,neutral,❤️,@rockyjohnson2511,2025-02-16,17:37:42
ojG2MtVBvxo,neutral,Nai xừ ❤,@mottobunboo,2025-02-03,18:59:37
ojG2MtVBvxo,neutral,19:45 SAO MÌNH LÙN THẾ???,@aquarius1102,2025-02-03,03:39:51
ojG2MtVBvxo,neutral,1:07:10 ((:,@tuanngoc-dw2xg,2025-02-02,15:46:25
ojG2MtVBvxo,neutral,Đợi anh chơi game này lâu lắm r :D VN Vô địch,@quythanh7931,2025-03-26,13:08:59
ojG2MtVBvxo,neutral,❤️,@rockyjohnson2511,2025-02-16,17:37:42
ojG2MtVBvxo,neutral,Nai xừ ❤,@mottobunboo,2025-02-03,18:59:37
ojG2MtVBvxo,neutral,19:45 SAO MÌNH LÙN THẾ???,@aquarius1102,2025-02-03,03:39:51
ojG2MtVBvxo,neutral,1:07:10 ((:,@tuanngoc-dw2xg,2025-02-02,15:46:25
ojG2MtVBvxo,neutral,Đợi anh chơi game này lâu lắm r :D VN Vô địch,@quythanh7931,2025-03-26,13:08:59
ojG2MtVBvxo,neutral,❤️,@rockyjohnson2511,2025-02-16,17:37:42
ojG2MtVBvxo,neutral,Nai xừ ❤,@mottobunboo,2025-02-03,18:59:37
ojG2MtVBvxo,neutral,19:45 SAO MÌNH LÙN THẾ???,@aquarius1102,2025-02-03,03:39:51
ojG2MtVBvxo,neutral,1:07:10 ((:,@tuanngoc-dw2xg,2025-02-02,15:46:25
b37bdtitay0,negative,công nhận anh chơi game gà vc luôn anh ơi ,@cangnguyen2623,2025-05-17,11:37:26
b37bdtitay0,negative,q,@Vladimir0Pudu,2025-05-14,03:35:04
b37bdtitay0,negative,con game hay vãi ạ.,@manhkhoanguyen5788,2025-04-21,07:15:48
b37bdtitay0,negative,milu,@animechennal118,2025-04-06,18:05:34
b37bdtitay0,negative,52:56 khịa time :>>>>>,@quote9178,2025-04-05,12:26:29
b37bdtitay0,neutral,công nhận anh chơi game gà vc luôn anh ơi ,@cangnguyen2623,2025-05-17,11:37:26
b37bdtitay0,neutral,q,@Vladimir0Pudu,2025-05-14,03:35:04
b37bdtitay0,neutral,con game hay vãi ạ.,@manhkhoanguyen5788,2025-04-21,07:15:48
b37bdtitay0,neutral,milu,@animechennal118,2025-04-06,18:05:34
b37bdtitay0,neutral,52:56 khịa time :>>>>>,@quote9178,2025-04-05,12:26:29
b37bdtitay0,negative,công nhận anh chơi game gà vc luôn anh ơi ,@cangnguyen2623,2025-05-17,11:37:26
b37bdtitay0,negative,q,@Vladimir0Pudu,2025-05-14,03:35:04
b37bdtitay0,negative,con game hay vãi ạ.,@manhkhoanguyen5788,2025-04-21,07:15:48
b37bdtitay0,negative,milu,@animechennal118,2025-04-06,18:05:34
b37bdtitay0,negative,52:56 khịa time :>>>>>,@quote9178,2025-04-05,12:26:29
b37bdtitay0,neutral,công nhận anh chơi game gà vc luôn anh ơi ,@cangnguyen2623,2025-05-17,11:37:26
b37bdtitay0,neutral,q,@Vladimir0Pudu,2025-05-14,03:35:04
b37bdtitay0,neutral,con game hay vãi ạ.,@manhkhoanguyen5788,2025-04-21,07:15:48
b37bdtitay0,neutral,milu,@animechennal118,2025-04-06,18:05:34
b37bdtitay0,neutral,52:56 khịa time :>>>>>,@quote9178,2025-04-05,12:26:29
b37bdtitay0,neutral,công nhận anh chơi game gà vc luôn anh ơi ,@cangnguyen2623,2025-05-17,11:37:26
b37bdtitay0,neutral,q,@Vladimir0Pudu,2025-05-14,03:35:04
b37bdtitay0,neutral,con game hay vãi ạ.,@manhkhoanguyen5788,2025-04-21,07:15:48
b37bdtitay0,neutral,milu,@animechennal118,2025-04-06,18:05:34
b37bdtitay0,neutral,52:56 khịa time :>>>>>,@quote9178,2025-04-05,12:26:29
zQpNa1VImS0,neutral,nhà làm game này chắc có ấn tượng với đi nặng thì ph :)))))))),@MeNot-k7l,2025-05-26,06:19:00
zQpNa1VImS0,neutral,54:31 câu hát huyền thoại🔥😂,@Memes-555-vpn,2025-05-13,18:15:55
zQpNa1VImS0,neutral,"vụ này hình như bên Mê Phá Án cũng có làm, ổng là cựu cảnh sát nên biết cách gây án xong xoá dấu vết, nói tóm lại  rất khó để điều tra vì hầu như ko có manh mối, 1 trong những kẻ biến thái giet người hàng loạt của mỹ",@yiyi8384,2025-05-13,15:00:19
zQpNa1VImS0,neutral,"lần đầu tiên mk xem 1 game kinh dị hay như này, nó ko kiểu rùng rợn ma quỷ mà khiến cho ng chơi cảm giác rợn rợn gai gai, phải ovt mọi tình huống, lo sợ nghi ngờ mọi thứ dù ko biết là an toàn hay nguy hiểm trước mắt, kiểu nó khiến cho ngta tính suy đoán , đề phòng trước mọi hoàn cảnh,tạo cho ngta cảm giác nhập vai vào đúng nhân vật trong phim kinh dị gjet ng hàng loạt của mỹ. công nhận game đỉnh vl",@yiyi8384,2025-05-13,12:58:28
zQpNa1VImS0,neutral,Con game gì mà có cái bóng cái đầu con ma thoắt ẩn thoắt hiện ae nhỉ,@VõhồMinhhoàng-m4t,2025-04-30,15:46:43
zQpNa1VImS0,neutral,nhà làm game này chắc có ấn tượng với đi nặng thì ph :)))))))),@MeNot-k7l,2025-05-26,06:19:00
zQpNa1VImS0,neutral,54:31 câu hát huyền thoại🔥😂,@Memes-555-vpn,2025-05-13,18:15:55
zQpNa1VImS0,neutral,"vụ này hình như bên Mê Phá Án cũng có làm, ổng là cựu cảnh sát nên biết cách gây án xong xoá dấu vết, nói tóm lại  rất khó để điều tra vì hầu như ko có manh mối, 1 trong những kẻ biến thái giet người hàng loạt của mỹ",@yiyi8384,2025-05-13,15:00:19
zQpNa1VImS0,neutral,"lần đầu tiên mk xem 1 game kinh dị hay như này, nó ko kiểu rùng rợn ma quỷ mà khiến cho ng chơi cảm giác rợn rợn gai gai, phải ovt mọi tình huống, lo sợ nghi ngờ mọi thứ dù ko biết là an toàn hay nguy hiểm trước mắt, kiểu nó khiến cho ngta tính suy đoán , đề phòng trước mọi hoàn cảnh,tạo cho ngta cảm giác nhập vai vào đúng nhân vật trong phim kinh dị gjet ng hàng loạt của mỹ. công nhận game đỉnh vl",@yiyi8384,2025-05-13,12:58:28
zQpNa1VImS0,neutral,Con game gì mà có cái bóng cái đầu con ma thoắt ẩn thoắt hiện ae nhỉ,@VõhồMinhhoàng-m4t,2025-04-30,15:46:43
zQpNa1VImS0,neutral,nhà làm game này chắc có ấn tượng với đi nặng thì ph :)))))))),@MeNot-k7l,2025-05-26,06:19:00
zQpNa1VImS0,neutral,54:31 câu hát huyền thoại🔥😂,@Memes-555-vpn,2025-05-13,18:15:55
zQpNa1VImS0,neutral,"vụ này hình như bên Mê Phá Án cũng có làm, ổng là cựu cảnh sát nên biết cách gây án xong xoá dấu vết, nói tóm lại  rất khó để điều tra vì hầu như ko có manh mối, 1 trong những kẻ biến thái giet người hàng loạt của mỹ",@yiyi8384,2025-05-13,15:00:19
zQpNa1VImS0,neutral,"lần đầu tiên mk xem 1 game kinh dị hay như này, nó ko kiểu rùng rợn ma quỷ mà khiến cho ng chơi cảm giác rợn rợn gai gai, phải ovt mọi tình huống, lo sợ nghi ngờ mọi thứ dù ko biết là an toàn hay nguy hiểm trước mắt, kiểu nó khiến cho ngta tính suy đoán , đề phòng trước mọi hoàn cảnh,tạo cho ngta cảm giác nhập vai vào đúng nhân vật trong phim kinh dị gjet ng hàng loạt của mỹ. công nhận game đỉnh vl",@yiyi8384,2025-05-13,12:58:28
zQpNa1VImS0,neutral,Con game gì mà có cái bóng cái đầu con ma thoắt ẩn thoắt hiện ae nhỉ,@VõhồMinhhoàng-m4t,2025-04-30,15:46:43
zQpNa1VImS0,negative,nhà làm game này chắc có ấn tượng với đi nặng thì ph :)))))))),@MeNot-k7l,2025-05-26,06:19:00
zQpNa1VImS0,negative,54:31 câu hát huyền thoại🔥😂,@Memes-555-vpn,2025-05-13,18:15:55
zQpNa1VImS0,negative,"vụ này hình như bên Mê Phá Án cũng có làm, ổng là cựu cảnh sát nên biết cách gây án xong xoá dấu vết, nói tóm lại  rất khó để điều tra vì hầu như ko có manh mối, 1 trong những kẻ biến thái giet người hàng loạt của mỹ",@yiyi8384,2025-05-13,15:00:19
zQpNa1VImS0,negative,"lần đầu tiên mk xem 1 game kinh dị hay như này, nó ko kiểu rùng rợn ma quỷ mà khiến cho ng chơi cảm giác rợn rợn gai gai, phải ovt mọi tình huống, lo sợ nghi ngờ mọi thứ dù ko biết là an toàn hay nguy hiểm trước mắt, kiểu nó khiến cho ngta tính suy đoán , đề phòng trước mọi hoàn cảnh,tạo cho ngta cảm giác nhập vai vào đúng nhân vật trong phim kinh dị gjet ng hàng loạt của mỹ. công nhận game đỉnh vl",@yiyi8384,2025-05-13,12:58:28
zQpNa1VImS0,negative,Con game gì mà có cái bóng cái đầu con ma thoắt ẩn thoắt hiện ae nhỉ,@VõhồMinhhoàng-m4t,2025-04-30,15:46:43
zQpNa1VImS0,negative,nhà làm game này chắc có ấn tượng với đi nặng thì ph :)))))))),@MeNot-k7l,2025-05-26,06:19:00
zQpNa1VImS0,negative,54:31 câu hát huyền thoại🔥😂,@Memes-555-vpn,2025-05-13,18:15:55
zQpNa1VImS0,negative,"vụ này hình như bên Mê Phá Án cũng có làm, ổng là cựu cảnh sát nên biết cách gây án xong xoá dấu vết, nói tóm lại  rất khó để điều tra vì hầu như ko có manh mối, 1 trong những kẻ biến thái giet người hàng loạt của mỹ",@yiyi8384,2025-05-13,15:00:19
zQpNa1VImS0,negative,"lần đầu tiên mk xem 1 game kinh dị hay như này, nó ko kiểu rùng rợn ma quỷ mà khiến cho ng chơi cảm giác rợn rợn gai gai, phải ovt mọi tình huống, lo sợ nghi ngờ mọi thứ dù ko biết là an toàn hay nguy hiểm trước mắt, kiểu nó khiến cho ngta tính suy đoán , đề phòng trước mọi hoàn cảnh,tạo cho ngta cảm giác nhập vai vào đúng nhân vật trong phim kinh dị gjet ng hàng loạt của mỹ. công nhận game đỉnh vl",@yiyi8384,2025-05-13,12:58:28
zQpNa1VImS0,negative,Con game gì mà có cái bóng cái đầu con ma thoắt ẩn thoắt hiện ae nhỉ,@VõhồMinhhoàng-m4t,2025-04-30,15:46:43
nwKHE6M5tQk,neutral,hơn tháng rồi chưa thấy chú chơi lại 2:23:50,@quangthai4266,2025-05-16,13:57:26
nwKHE6M5tQk,neutral,game mid vl khong co p2 dau,@godslayer7905,2025-05-10,12:33:23
nwKHE6M5tQk,neutral,Tiếp đi anh ơi hay quáaaaa🎉🎉🎉🎉🎉,@trungang5901,2025-05-08,17:46:06
nwKHE6M5tQk,neutral,Khi nao co #2 z ae :((,@manhantruong7199,2025-05-03,15:18:58
nwKHE6M5tQk,neutral,"Ủa lão Dẽo đờ rốp con game này rồi hả ae, hóng mãi lão ra tập mới mà hơn tháng rồi vẫn chưa thấy😢😢",@_VoQuocTruongDuy,2025-05-02,08:46:12
nwKHE6M5tQk,negative,hơn tháng rồi chưa thấy chú chơi lại 2:23:50,@quangthai4266,2025-05-16,13:57:26
nwKHE6M5tQk,negative,game mid vl khong co p2 dau,@godslayer7905,2025-05-10,12:33:23
nwKHE6M5tQk,negative,Tiếp đi anh ơi hay quáaaaa🎉🎉🎉🎉🎉,@trungang5901,2025-05-08,17:46:06
nwKHE6M5tQk,negative,Khi nao co #2 z ae :((,@manhantruong7199,2025-05-03,15:18:58
nwKHE6M5tQk,negative,"Ủa lão Dẽo đờ rốp con game này rồi hả ae, hóng mãi lão ra tập mới mà hơn tháng rồi vẫn chưa thấy😢😢",@_VoQuocTruongDuy,2025-05-02,08:46:12
nwKHE6M5tQk,neutral,hơn tháng rồi chưa thấy chú chơi lại 2:23:50,@quangthai4266,2025-05-16,13:57:26
nwKHE6M5tQk,neutral,game mid vl khong co p2 dau,@godslayer7905,2025-05-10,12:33:23
nwKHE6M5tQk,neutral,Tiếp đi anh ơi hay quáaaaa🎉🎉🎉🎉🎉,@trungang5901,2025-05-08,17:46:06
nwKHE6M5tQk,neutral,Khi nao co #2 z ae :((,@manhantruong7199,2025-05-03,15:18:58
nwKHE6M5tQk,neutral,"Ủa lão Dẽo đờ rốp con game này rồi hả ae, hóng mãi lão ra tập mới mà hơn tháng rồi vẫn chưa thấy😢😢",@_VoQuocTruongDuy,2025-05-02,08:46:12
nwKHE6M5tQk,negative,hơn tháng rồi chưa thấy chú chơi lại 2:23:50,@quangthai4266,2025-05-16,13:57:26
nwKHE6M5tQk,negative,game mid vl khong co p2 dau,@godslayer7905,2025-05-10,12:33:23
nwKHE6M5tQk,negative,Tiếp đi anh ơi hay quáaaaa🎉🎉🎉🎉🎉,@trungang5901,2025-05-08,17:46:06
nwKHE6M5tQk,negative,Khi nao co #2 z ae :((,@manhantruong7199,2025-05-03,15:18:58
nwKHE6M5tQk,negative,"Ủa lão Dẽo đờ rốp con game này rồi hả ae, hóng mãi lão ra tập mới mà hơn tháng rồi vẫn chưa thấy😢😢",@_VoQuocTruongDuy,2025-05-02,08:46:12
nwKHE6M5tQk,negative,hơn tháng rồi chưa thấy chú chơi lại 2:23:50,@quangthai4266,2025-05-16,13:57:26
nwKHE6M5tQk,negative,game mid vl khong co p2 dau,@godslayer7905,2025-05-10,12:33:23
nwKHE6M5tQk,negative,Tiếp đi anh ơi hay quáaaaa🎉🎉🎉🎉🎉,@trungang5901,2025-05-08,17:46:06
nwKHE6M5tQk,negative,Khi nao co #2 z ae :((,@manhantruong7199,2025-05-03,15:18:58
nwKHE6M5tQk,negative,"Ủa lão Dẽo đờ rốp con game này rồi hả ae, hóng mãi lão ra tập mới mà hơn tháng rồi vẫn chưa thấy😢😢",@_VoQuocTruongDuy,2025-05-02,08:46:12
V6DewUcZzKQ,positive,ĐÉO BIẾT LÃO HỒI NÀY CÓ NUỐT LUÔN 1 LÍT CỦA ĐẠT KO :)))))))))))))))))))))))))),@longb5444,2025-05-17,15:39:52
V6DewUcZzKQ,positive,Haizz😢,@tamhuynh1297,2025-05-13,06:32:11
V6DewUcZzKQ,positive,Game tên j v anh,@Yenneesieuxinh,2025-04-13,03:59:07
V6DewUcZzKQ,positive,noen 2024 vẫn ngồi coi lại clip này vì hài ạ:))),@-AangMinhPhat-,2024-12-24,15:49:02
V6DewUcZzKQ,positive,.,@ĐứcKhánh-y5t,2024-11-24,03:38:18
V6DewUcZzKQ,neutral,ĐÉO BIẾT LÃO HỒI NÀY CÓ NUỐT LUÔN 1 LÍT CỦA ĐẠT KO :)))))))))))))))))))))))))),@longb5444,2025-05-17,15:39:52
V6DewUcZzKQ,neutral,Haizz😢,@tamhuynh1297,2025-05-13,06:32:11
V6DewUcZzKQ,neutral,Game tên j v anh,@Yenneesieuxinh,2025-04-13,03:59:07
V6DewUcZzKQ,neutral,noen 2024 vẫn ngồi coi lại clip này vì hài ạ:))),@-AangMinhPhat-,2024-12-24,15:49:02
V6DewUcZzKQ,neutral,.,@ĐứcKhánh-y5t,2024-11-24,03:38:18
V6DewUcZzKQ,negative,ĐÉO BIẾT LÃO HỒI NÀY CÓ NUỐT LUÔN 1 LÍT CỦA ĐẠT KO :)))))))))))))))))))))))))),@longb5444,2025-05-17,15:39:52
V6DewUcZzKQ,negative,Haizz😢,@tamhuynh1297,2025-05-13,06:32:11
V6DewUcZzKQ,negative,Game tên j v anh,@Yenneesieuxinh,2025-04-13,03:59:07
V6DewUcZzKQ,negative,noen 2024 vẫn ngồi coi lại clip này vì hài ạ:))),@-AangMinhPhat-,2024-12-24,15:49:02
V6DewUcZzKQ,negative,.,@ĐứcKhánh-y5t,2024-11-24,03:38:18
V6DewUcZzKQ,positive,ĐÉO BIẾT LÃO HỒI NÀY CÓ NUỐT LUÔN 1 LÍT CỦA ĐẠT KO :)))))))))))))))))))))))))),@longb5444,2025-05-17,15:39:52
V6DewUcZzKQ,positive,Haizz😢,@tamhuynh1297,2025-05-13,06:32:11
V6DewUcZzKQ,positive,Game tên j v anh,@Yenneesieuxinh,2025-04-13,03:59:07
V6DewUcZzKQ,positive,noen 2024 vẫn ngồi coi lại clip này vì hài ạ:))),@-AangMinhPhat-,2024-12-24,15:49:02
V6DewUcZzKQ,positive,.,@ĐứcKhánh-y5t,2024-11-24,03:38:18
V6DewUcZzKQ,neutral,ĐÉO BIẾT LÃO HỒI NÀY CÓ NUỐT LUÔN 1 LÍT CỦA ĐẠT KO :)))))))))))))))))))))))))),@longb5444,2025-05-17,15:39:52
V6DewUcZzKQ,neutral,Haizz😢,@tamhuynh1297,2025-05-13,06:32:11
V6DewUcZzKQ,neutral,Game tên j v anh,@Yenneesieuxinh,2025-04-13,03:59:07
V6DewUcZzKQ,neutral,noen 2024 vẫn ngồi coi lại clip này vì hài ạ:))),@-AangMinhPhat-,2024-12-24,15:49:02
V6DewUcZzKQ,neutral,.,@ĐứcKhánh-y5t,2024-11-24,03:38:18
7aJnShgDJcA,neutral,❤️,@leduy_dyan1002,2025-03-26,01:02:25
7aJnShgDJcA,neutral,"3:00: Bắt đầu trò chuyện với ae
1:06:04: khi người hướng nội đi ia :))
1:29:40: Có hiếu với gái, câu chuyện Bum và Gia Hân
1:42:40: Khi Cell tự hủy mà ko có sự góp mặt của Goku <("")
1:53:53: elden ring
1:58:15
2:33:12: ""Ngỗng"" cười mời ae thưởng thức .",@quocthangnguyen5900,2025-03-25,08:45:29
7aJnShgDJcA,neutral,T gián hết lá bùa lên tất cả đồ luôn,@nguyenvuhaovuhao,2025-03-14,13:37:09
7aJnShgDJcA,neutral,45:35,@D_N_T,2025-01-23,01:00:24
7aJnShgDJcA,neutral,"1:02:18 chơi lại
1:54:35 anh em cho tôi xin voice actor em này với, nghe giọng quen quen",@hetcuu876,2025-01-16,06:09:33
7aJnShgDJcA,positive,❤️,@leduy_dyan1002,2025-03-26,01:02:25
7aJnShgDJcA,positive,"3:00: Bắt đầu trò chuyện với ae
1:06:04: khi người hướng nội đi ia :))
1:29:40: Có hiếu với gái, câu chuyện Bum và Gia Hân
1:42:40: Khi Cell tự hủy mà ko có sự góp mặt của Goku <("")
1:53:53: elden ring
1:58:15
2:33:12: ""Ngỗng"" cười mời ae thưởng thức .",@quocthangnguyen5900,2025-03-25,08:45:29
7aJnShgDJcA,positive,T gián hết lá bùa lên tất cả đồ luôn,@nguyenvuhaovuhao,2025-03-14,13:37:09
7aJnShgDJcA,positive,45:35,@D_N_T,2025-01-23,01:00:24
7aJnShgDJcA,positive,"1:02:18 chơi lại
1:54:35 anh em cho tôi xin voice actor em này với, nghe giọng quen quen",@hetcuu876,2025-01-16,06:09:33
7aJnShgDJcA,neutral,❤️,@leduy_dyan1002,2025-03-26,01:02:25
